ID;Age;Gender;Eyesight;NrFalseInputs_generalQuestions;StudyBefore;Job;CourseOfStudy;Semester;Algorithms;NrFalseInputs_studentQuestions;YearsProgramming;ProgrammingLately;ProgrammingLanguages;RecentProgrammingLanguages;PythonProgramming;OverallExperience;Classmates;NrFalseInputs_progQuestions;ActualScreenWidth;ActualScreenHeight;EyeXScreenWidth;EyeXScreenHeight;SubjectID
10066;21;Male;No;0;No;Undergraduate Student (Bachelor Studies);BCs. Informatik;4;No;0;2;Monthly;Java, Python, C/++, Javascript;Java;Average;Average;Average;0;2560;1440;2560;1440;b167d432-eef9-4501-ad8e-f0daba01c76d
10723;23;Male;No;0;No;Undergraduate Student (Bachelor Studies);Cybersecurity;9;No;0;11;Daily;Python, Java, Javascript, R, C, C++;Python, Java, Javascript, R, C, C++;Experienced;Experienced;Experienced;0;2560;1440;2560;1440;779e5d3b-19a0-4a8a-97d2-3d9df0166780
10920;21;Male;No;0;No;Undergraduate Student (Bachelor Studies);DSAI;6;No;0;3;Weekly;Python;Python, C#;Experienced;Average;Experienced;1;2560;1440;2560;1440;1f719d25-bbad-4d99-8ce4-84dae28cec82
12480;22;Male;No;0;No;Undergraduate Student (Bachelor Studies);B. Sc. Business Informatics;5;No;0;4;Daily;Java, C, C++, C#, JS, Python, PHP;Java, C, C++, JS, Python, PHP;Average;Experienced;Experienced;0;2560;1440;2560;1440;ca433995-88ff-43cc-9c55-14a075199cf7
12663;20;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Bachelors Plus MINT;1;No;0;1;Weekly;Python, OCaml;OCaml;Inexperienced;Average;Very Inexperienced;0;2560;1440;2560;1440;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
13020;24;Male;No;0;No;Undergraduate Student (Bachelor Studies);Computer Science;3;No;0;2;Rarely;Python, Java, C, OCaml;Python;Inexperienced;Inexperienced;Average;0;2560;1440;2560;1440;1cbabb88-1cd3-40ce-a008-a109ea7eb091
14296;21;Female;No;0;Yes;Undergraduate Student (Bachelor Studies);Informatik B.Sc;7;No;0;6;Rarely;Java, Python, little bit C & R;Java, R;Inexperienced;Average;Inexperienced;0;2560;1440;2560;1440;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
18868;20;Male;No;0;No;Undergraduate Student (Bachelor Studies);Cybersicherheit;1;No;0;5;Weekly;Python, C, Java, (OCaml, MIPS, Lazarus slightly);Python, OCaml;Experienced;Average;Average;0;2560;1440;2560;1440;de29c929-1874-451b-9d1d-bc96e7552246
23559;21;Male;No;0;No;Undergraduate Student (Bachelor Studies);Cybersecurity;7;No;0;5;Rarely;R, Python, MIPS, C, Java, html, css, sql;R, Python, html, sql;Inexperienced;Experienced;Average;0;2560;1440;0;0;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
23993;22;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Eingebettete Systeme;9;Yes;0;5;Rarely;C, Java, VHDL, MIPS, Kotlin;Kotlin;Inexperienced;Average;Inexperienced;0;2560;1440;2560;1440;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
